Rank,Team,Value
1, New York Knicks, $4 billion
2, Los Angeles Lakers, $3.7 billion
3, Golden State Warriors, $3.5 billion
4, Chicago Bulls, $2.9 billion
5, Boston Celtics, $2.8 billion
6, Brooklyn Nets, $2.35 billion
7, Houston Rockets, $2.3 billion
8, Dallas Mavericks, $2.25 billion
9, Los Angeles Clippers, $2.2 billion
10, Miami Heat, $1.75 billion
11, Toronto Raptors, $1.675 billion
12, Philadelphia 76ers, $1.65 billion
13, San Antonio Spurs, $1.625 billion
14, Portland Trail Blazers, $1.6 billion
15, Sacramento Kings, $1.575 billion
16, Washington Wizards, $1.55 billion
17, Phoenix Suns, $1.5 billion
18, Oklahoma City Thunder, $1.475 billion
19, Utah Jazz, $1.425 billion
20, Indiana Pacers, $1.4 billion
21, Denver Nuggets, $1.375 billion
22, Milwaukee Bucks, $1.35 billion
23, Orlando Magic, $1.325 billion
24, Atlanta Hawks, $1.3 billion
25, Cleveland Cavaliers, $1.275 billion
26, Detroit Pistons, $1.27 billion
27, Minnesota Timberwolves, $1.26 billion
28, Charlotte Hornets, $1.25 billion
29, New Orleans Pelicans, $1.22 billion
30, Memphis Grizzlies, $1.2 billion
