Rank,Team,Value
1, Lakers, $2.6 billion
2, Knicks, $2.5 billion
3, Bulls, $2 billion
4, Celtics, $1.7 billion
5, Clippers, $1.6 billion
6, Nets, $1.5 billion
7, Warriors, $1.3 billion
8, Rockets, $1.25 billion
9, Heat, $1.175 billion
10, Mavericks, $1.15 billion
11, Spurs, $1 billion
12, Trail Blazers, $940MM
13, Thunder, $930MM
14, Raptors, $920MM
15, Cavaliers, $915MM
16, Suns, $910MM
17, Wizards, $900MM
18, Magic, $875MM
19, Nuggets, $855MM
20, Jazz, $850MM
21, Pacers, $830MM
22, Hawks, $825MM
23, Pistons, $810MM
24, Kings, $800MM
25, Grizzlies, $750MM
26, Hornets, $725MM
27, 76ers, $700MM
28, Pelicans, $650MM
29, Timberwolves, $625MM
30, Bucks, $600MM
