Rank,Team,Value
1, Knicks, $3 billion 
2, Lakers, $2.7 billion 
3, Bulls, $2.3 billion 
4, Celtics, $2.1 billion 
5, Clippers, $2 billion 
6, Warriors, $1.9 billion 
7, Nets, $1.7 billion 
8, Rockets, $1.5 billion 
9, Mavericks, $1.4 billion 
10, Heat, $1.3 billion 
11, Spurs, $1.15 billion 
12, Cavaliers, $1.1 billion 
13, Suns, $1 billion 
14, Raptors, $980MM 
15, Trail Blazers, $975MM 
16, Wizards, $960MM 
17, Thunder, $950MM 
18, Kings, $925MM 
19, Magic, $900MM 
20, Jazz, $875MM 
21, Nuggets, $855MM 
22, Pistons, $850MM 
23, Pacers, $840MM 
24, Hawks, $825MM 
25, Grizzlies, $780MM 
26, Hornets, $750MM 
27, Timberwolves, $720MM 
28, Sixers, $700MM 
29, Bucks, $675MM 
30, Pelicans, $650MM 
