Team,Home ATT,Home AVG,Road ATT,Road AVG
Atlanta Hawks,"654,306","15,959","730,479","17,817"
Boston Celtics,"760,690","18,553","750,843","18,313"
Brooklyn Nets,"632,608","15,429","727,958","17,755"
Charlotte Hornets,"710,643","17,333","720,119","17,564"
Chicago Bulls,"888,882","21,680","739,359","18,033"
Cleveland Cavaliers,"843,042","20,562","779,880","19,021"
Dallas Mavericks,"811,366","19,789","718,291","17,519"
Denver Nuggets,"605,585","14,770","714,236","17,420"
Detroit Pistons,"655,141","15,979","725,680","17,700"
Golden State Warriors,"803,436","19,596","779,621","19,015"
Houston Rockets,"695,903","16,973","743,761","18,141"
Indiana Pacers,"684,578","16,697","731,786","17,848"
Los Angeles Clippers,"782,609","19,088","733,478","17,890"
Los Angeles Lakers,"776,917","18,949","745,860","18,192"
Memphis Grizzlies,"677,314","16,520","723,881","17,656"
Miami Heat,"805,400","19,644","730,566","17,819"
Milwaukee Bucks,"648,952","15,828","735,056","17,928"
Minnesota Timberwolves,"607,203","14,810","742,174","18,102"
New Orleans Pelicans,"663,099","16,173","740,577","18,063"
New York Knicks,"810,741","19,774","735,028","17,928"
Oklahoma City Thunder,"746,323","18,203","753,331","18,374"
Orlando Magic,"727,875","17,753","710,690","17,334"
Philadelphia 76ers,"710,557","17,331","705,569","17,209"
Phoenix Suns,"708,639","17,284","722,367","17,619"
Portland Trail Blazers,"792,029","19,318","719,788","17,556"
Sacramento Kings,"721,928","17,608","717,065","17,489"
San Antonio Spurs,"755,347","18,423","743,388","18,131"
Toronto Raptors,"813,050","19,830","734,953","17,926"
Utah Jazz,"806,142","19,662","705,701","17,212"
Washington Wizards,"697,107","17,003","735,927","17,949"
