Team,Home ATT,Home AVG,Road ATT,Road AVG
Atlanta Hawks,"690,150","16,833","722,066","17,611"
Boston Celtics,"749,076","18,270","715,023","17,440"
Brooklyn Nets,"620,142","15,125","742,352","18,106"
Charlotte Hornets,"716,894","17,485","729,157","17,784"
Chicago Bulls,"894,659","21,821","744,400","18,156"
Cleveland Cavaliers,"843,042","20,562","775,317","18,910"
Dallas Mavericks,"825,901","20,144","726,812","17,727"
Denver Nuggets,"577,898","14,095","729,120","17,783"
Detroit Pistons,"677,138","16,516","730,383","17,814"
Golden State Warriors,"803,436","19,596","784,499","19,134"
Houston Rockets,"737,244","17,982","727,368","17,741"
Indiana Pacers,"690,733","16,847","731,930","17,852"
Los Angeles Clippers,"786,910","19,193","729,503","17,793"
Los Angeles Lakers,"778,877","18,997","785,143","19,150"
Memphis Grizzlies,"701,894","17,119","721,186","17,590"
Miami Heat,"809,350","19,740","739,821","18,044"
Milwaukee Bucks,"621,808","15,166","722,548","17,623"
Minnesota Timberwolves,"581,178","14,175","731,110","17,832"
New Orleans Pelicans,"688,549","16,794","731,893","17,851"
New York Knicks,"812,292","19,812","756,070","18,441"
Oklahoma City Thunder,"746,323","18,203","748,617","18,259"
Orlando Magic,"719,275","17,543","704,188","17,175"
Philadelphia 76ers,"610,121","14,881","717,170","17,492"
Phoenix Suns,"701,405","17,107","709,412","17,303"
Portland Trail Blazers,"794,085","19,368","725,852","17,704"
Sacramento Kings,"707,526","17,257","711,569","17,355"
San Antonio Spurs,"756,445","18,450","735,470","17,938"
Toronto Raptors,"812,863","19,826","703,668","17,163"
Utah Jazz,"791,489","19,305","712,518","17,378"
Washington Wizards,"725,426","17,693","729,274","17,787"
