Team,Home ATT,Home AVG,Road ATT,Road AVG
Atlanta Hawks,"590,769","14,409","729,839","17,801"
Boston Celtics,"763,584","18,624","760,822","18,557"
Brooklyn Nets,"639,510","15,598","725,099","17,685"
Charlotte Hornets,"671,404","16,376","722,558","17,623"
Chicago Bulls,"851,824","20,776","739,242","18,030"
Cleveland Cavaliers,"843,042","20,562","781,477","19,060"
Dallas Mavericks,"811,453","19,792","712,566","17,380"
Denver Nuggets,"702,796","17,141","732,712","17,871"
Detroit Pistons,"713,945","17,413","736,330","17,959"
Golden State Warriors,"803,436","19,596","774,248","18,884"
Houston Rockets,"732,722","17,871","753,134","18,369"
Indiana Pacers,"658,119","16,052","727,547","17,745"
Los Angeles Clippers,"697,812","17,020","729,030","17,781"
Los Angeles Lakers,"776,328","18,935","766,568","18,697"
Memphis Grizzlies,"653,863","15,948","711,289","17,349"
Miami Heat,"804,910","19,632","745,274","18,177"
Milwaukee Bucks,"685,303","16,715","753,614","18,381"
Minnesota Timberwolves,"699,308","17,056","731,886","17,851"
New Orleans Pelicans,"673,920","16,437","734,378","17,912"
New York Knickerbockers,"792,608","19,332","745,965","18,194"
Oklahoma City Thunder,"746,323","18,203","773,542","18,867"
Orlando Magic,"734,531","17,915","723,704","17,651"
Philadelphia 76ers,"833,503","20,329","737,198","17,980"
Phoenix Suns,"690,576","16,843","722,045","17,611"
Portland Trail Blazers,"795,328","19,398","719,823","17,557"
Sacramento Kings,"719,903","17,559","716,618","17,478"
San Antonio Spurs,"754,562","18,404","755,528","18,428"
Toronto Raptors,"813,431","19,840","724,603","17,673"
Utah Jazz,"734,806","17,922","717,311","17,495"
Washington Wizards,"739,302","18,032","724,971","17,682"
