Rank,Player,Salary,Team,Team Code,Year
1,Kobe Bryant,"$23,500,000 ",Los Angeles Lakers,LAL,2015
2,Joe Johnson,"$23,180,790 ",Brooklyn Nets,BRK,2015
3,Carmelo Anthony,"$22,458,401 ",New York Knicks,NYK,2015
4,Amare Stoudemire,"$21,896,658 ",New York Knicks,NYK,2015
5,Dwight Howard,"$21,436,271 ",Houston Rockets,HOU,2015
6,Chris Bosh,"$20,644,400 ",Miami Heat,MIA,2015
6,LeBron James,"$20,644,400 ",Cleveland Cavaliers,CLE,2015
8,Chris Paul,"$20,068,563 ",Los Angeles Clippers,LAC,2015
