Team,Home ATT,Home AVG,Road ATT,Road AVG
Atlanta Hawks,"630,440","15,377","729,237","17,786"
Boston Celtics,"763,584","18,624","765,533","18,672"
Brooklyn Nets,"612,597","14,941","741,515","18,086"
Charlotte Hornets,"676,570","16,502","723,570","17,648"
Chicago Bulls,"823,475","20,085","730,710","17,822"
Cleveland Cavaliers,"793,337","19,350","722,921","17,632"
Dallas Mavericks,"820,569","20,014","741,033","18,074"
Denver Nuggets,"756,457","18,450","716,494","17,475"
Detroit Pistons,"675,963","16,487","730,583","17,819"
Golden State Warriors,"803,436","19,596","770,397","18,790"
Houston Rockets,"740,392","18,058","734,766","17,921"
Indiana Pacers,"689,310","16,812","732,774","17,873"
Los Angeles Clippers,"710,327","17,325","706,573","17,233"
Los Angeles Lakers,"778,877","18,997","773,355","18,862"
Memphis Grizzlies,"638,332","15,569","720,763","17,580"
Miami Heat,"805,264","19,641","745,217","18,176"
Milwaukee Bucks,"721,692","17,602","747,607","18,234"
Minnesota Timberwolves,"627,543","15,306","723,775","17,653"
New Orleans Pelicans,"656,183","16,004","724,356","17,667"
New York Knickerbockers,"779,087","19,002","720,226","17,566"
Oklahoma City,"746,350","18,204","732,517","17,866"
Orlando Magic,"720,024","17,562","724,048","17,660"
Philadelphia 76ers,"838,564","20,453","733,699","17,895"
Phoenix Suns,"627,023","15,293","737,301","17,983"
Portland Trail Blazers,"799,345","19,496","735,976","17,951"
Sacramento Kings,"700,975","17,097","705,164","17,199"
San Antonio Spurs,"750,616","18,308","712,647","17,382"
Toronto Raptors,"812,822","19,825","747,839","18,240"
Utah Jazz,"732,240","17,860","718,204","17,517"
Washington Wizards,"716,996","17,488","717,896","17,510"
