player_id,salary,season,season_end,season_start,team
netora01,937800,2016-17,2017,2016,Utah Jazz
netora01,1471382,2017-18,2018,2017,Utah Jazz
nichoan01,1482000,2013-14,2014,2013,Orlando Magic
nichoan01,1545840,2014-15,2015,2014,Orlando Magic
nichoan01,2380594,2015-16,2016,2015,Orlando Magic
nichoan01,6088993,2016-17,2017,2016,Brooklyn Nets
nichoan01,2844429,2017-18,2018,2017,Portland Trail Blazers
noahjo01,11100000,2013-14,2014,2013,Chicago Bulls
noahjo01,12200000,2014-15,2015,2014,Chicago Bulls
noahjo01,13400000,2015-16,2016,2015,Chicago Bulls
noahjo01,17000000,2016-17,2017,2016,New York Knicks
noahjo01,17765000,2017-18,2018,2017,New York Knicks
noelne01,3172320,2013-14,2014,2013,Philadelphia 76ers
noelne01,3315120,2014-15,2015,2014,Philadelphia 76ers
noelne01,3457800,2015-16,2016,2015,Philadelphia 76ers
noelne01,4384490,2016-17,2017,2016,Dallas Mavericks
noelne01,4187599,2017-18,2018,2017,Dallas Mavericks
noguelu01,1762680,2014-15,2015,2014,Toronto Raptors
noguelu01,1842000,2015-16,2016,2015,Toronto Raptors
noguelu01,1921320,2016-17,2017,2016,Toronto Raptors
noguelu01,2947305,2017-18,2018,2017,Toronto Raptors
novakst01,3750000,2013-14,2014,2013,Toronto Raptors
novakst01,3445946,2014-15,2015,2014,Oklahoma City Thunder
novakst01,3750000,2015-16,2016,2015,Denver Nuggets
novakst01,416886,2015-16,2016,2015,Milwaukee Bucks
novakst01,1551659,2016-17,2017,2016,Milwaukee Bucks
nowitdi01,22721381,2013-14,2014,2013,Dallas Mavericks
nowitdi01,7974482,2014-15,2015,2014,Dallas Mavericks
nowitdi01,8333334,2015-16,2016,2015,Dallas Mavericks
nowitdi01,25000000,2016-17,2017,2016,Dallas Mavericks
nowitdi01,5000000,2017-18,2018,2017,Dallas Mavericks
ntilila01,3501120,2017-18,2018,2017,New York Knicks
nurkiju01,1762680,2014-15,2015,2014,Denver Nuggets
nurkiju01,1842000,2015-16,2016,2015,Denver Nuggets
nurkiju01,1921320,2016-17,2017,2016,Portland Trail Blazers
nurkiju01,2947305,2017-18,2018,2017,Portland Trail Blazers
nwabada01,137466,2016-17,2017,2016,Los Angeles Lakers
nwabada01,1312611,2017-18,2018,2017,Chicago Bulls
obriejj01,105888,2015-16,2016,2015,Utah Jazz
obryajo01,600000,2014-15,2015,2014,Milwaukee Bucks
obryajo01,845059,2015-16,2016,2015,Milwaukee Bucks
obryajo01,276827,2016-17,2017,2016,Charlotte Hornets
obryajo01,115344,2016-17,2017,2016,Denver Nuggets
obryajo01,1524305,2017-18,2018,2017,New York Knicks
onealje01,2000000,2013-14,2014,2013,Golden State Warriors
onealro01,815615,2017-18,2018,2017,Utah Jazz
oquinky01,788872,2013-14,2014,2013,Orlando Magic
oquinky01,915243,2014-15,2015,2014,Orlando Magic
oquinky01,3750000,2015-16,2016,2015,New York Knicks
oquinky01,3900000,2016-17,2017,2016,New York Knicks
oquinky01,4087500,2017-18,2018,2017,New York Knicks
ochefda01,543471,2016-17,2017,2016,Washington Wizards
ochefda01,50000,2017-18,2018,2017,Washington Wizards
odengr01,1027424,2013-14,2014,2013,Miami Heat
ohlbrti01,788872,2013-14,2014,2013,Philadelphia 76ers
ojelese01,1291892,2017-18,2018,2017,Boston Celtics
okafoem01,14487500,2013-14,2014,2013,Phoenix Suns
okafoem01,774914,2017-18,2018,2017,New Orleans Pelicans
okafoja01,4582680,2015-16,2016,2015,Philadelphia 76ers
okafoja01,4788840,2016-17,2017,2016,Philadelphia 76ers
okafoja01,4995120,2017-18,2018,2017,Brooklyn Nets
oladivi01,4763760,2013-14,2014,2013,Orlando Magic
oladivi01,4978200,2014-15,2015,2014,Orlando Magic
oladivi01,5192520,2015-16,2016,2015,Orlando Magic
oladivi01,6552960,2016-17,2017,2016,Oklahoma City Thunder
oladivi01,21000000,2017-18,2018,2017,Indiana Pacers
olynyke01,1986360,2013-14,2014,2013,Boston Celtics
olynyke01,2075760,2014-15,2015,2014,Boston Celtics
olynyke01,2165160,2015-16,2016,2015,Boston Celtics
olynyke01,3094014,2016-17,2017,2016,Boston Celtics
olynyke01,10607169,2017-18,2018,2017,Miami Heat
onuakar01,43226,2014-15,2015,2014,Minnesota Timberwolves
onuakar01,440078,2016-17,2017,2016,Orlando Magic
onuakch01,543471,2016-17,2017,2016,Houston Rockets
onuakch01,1312611,2017-18,2018,2017,Houston Rockets
osmande01,2642857,2017-18,2018,2017,Cleveland Cavaliers
