Team,Home ATT,Home AVG,Road ATT,Road AVG
Atlanta Hawks,654306,15959,730479,17817
Boston Celtics,760690,18553,750843,18313
Brooklyn Nets,632608,15429,727958,17755
Charlotte Hornets,710643,17333,720119,17564
Chicago Bulls,888882,21680,739359,18033
Cleveland Cavaliers,843042,20562,779880,19021
Dallas Mavericks,811366,19789,718291,17519
Denver Nuggets,605585,14770,714236,17420
Detroit Pistons,655141,15979,725680,17700
Golden State Warriors,803436,19596,779621,19015
Houston Rockets,695903,16973,743761,18141
Indiana Pacers,684578,16697,731786,17848
Los Angeles Clippers,782609,19088,733478,17890
Los Angeles Lakers,776917,18949,745860,18192
Memphis Grizzlies,677314,16520,723881,17656
Miami Heat,805400,19644,730566,17819
Milwaukee Bucks,648952,15828,735056,17928
Minnesota Timberwolves,607203,14810,742174,18102
New Orleans Pelicans,663099,16173,740577,18063
New York Knicks,810741,19774,735028,17928
Oklahoma City Thunder,746323,18203,753331,18374
Orlando Magic,727875,17753,710690,17334
Philadelphia 76ers,710557,17331,705569,17209
Phoenix Suns,708639,17284,722367,17619
Portland Trail Blazers,792029,19318,719788,17556
Sacramento Kings,721928,17608,717065,17489
San Antonio Spurs,755347,18423,743388,18131
Toronto Raptors,813050,19830,734953,17926
Utah Jazz,806142,19662,705701,17212
Washington Wizards,697107,17003,735927,17949
