Rank,Player,Salary,Team,Team Code
1,Kobe Bryant,"$23,500,000 ",Los Angeles Lakers,LAL
2,Joe Johnson,"$23,180,790 ",Brooklyn Nets,BRK
3,Carmelo Anthony,"$22,458,401 ",New York Knicks,NYK
4,Amare Stoudemire,"$21,896,658 ",New York Knicks,NYK
5,Dwight Howard,"$21,436,271 ",Houston Rockets,HOU
6,Chris Bosh,"$20,644,400 ",Miami Heat,MIA
6,LeBron James,"$20,644,400 ",Cleveland Cavaliers,CLE
8,Chris Paul,"$20,068,563 ",Los Angeles Clippers,LAC
