Team,Home ATT,Home AVG,Road ATT,Road AVG
Atlanta Hawks,590769,14409,729839,17801
Boston Celtics,763584,18624,760822,18557
Brooklyn Nets,639510,15598,725099,17685
Charlotte Hornets,671404,16376,722558,17623
Chicago Bulls,851824,20776,739242,18030
Cleveland Cavaliers,843042,20562,781477,19060
Dallas Mavericks,811453,19792,712566,17380
Denver Nuggets,702796,17141,732712,17871
Detroit Pistons,713945,17413,736330,17959
Golden State Warriors,803436,19596,774248,18884
Houston Rockets,732722,17871,753134,18369
Indiana Pacers,658119,16052,727547,17745
Los Angeles Clippers,697812,17020,729030,17781
Los Angeles Lakers,776328,18935,766568,18697
Memphis Grizzlies,653863,15948,711289,17349
Miami Heat,804910,19632,745274,18177
Milwaukee Bucks,685303,16715,753614,18381
Minnesota Timberwolves,699308,17056,731886,17851
New Orleans Pelicans,673920,16437,734378,17912
New York Knicks,792608,19332,745965,18194
Oklahoma City Thunder,746323,18203,773542,18867
Orlando Magic,734531,17915,723704,17651
Philadelphia 76ers,833503,20329,737198,17980
Phoenix Suns,690576,16843,722045,17611
Portland Trail Blazers,795328,19398,719823,17557
Sacramento Kings,719903,17559,716618,17478
San Antonio Spurs,754562,18404,755528,18428
Toronto Raptors,813431,19840,724603,17673
Utah Jazz,734806,17922,717311,17495
Washington Wizards,739302,18032,724971,17682
