Team,Home ATT,Home AVG,Road ATT,Road AVG
Atlanta Hawks,630440,15377,729237,17786
Boston Celtics,763584,18624,765533,18672
Brooklyn Nets,612597,14941,741515,18086
Charlotte Hornets,676570,16502,723570,17648
Chicago Bulls,823475,20085,730710,17822
Cleveland Cavaliers,793337,19350,722921,17632
Dallas Mavericks,820569,20014,741033,18074
Denver Nuggets,756457,18450,716494,17475
Detroit Pistons,675963,16487,730583,17819
Golden State Warriors,803436,19596,770397,18790
Houston Rockets,740392,18058,734766,17921
Indiana Pacers,689310,16812,732774,17873
Los Angeles Clippers,710327,17325,706573,17233
Los Angeles Lakers,778877,18997,773355,18862
Memphis Grizzlies,638332,15569,720763,17580
Miami Heat,805264,19641,745217,18176
Milwaukee Bucks,721692,17602,747607,18234
Minnesota Timberwolves,627543,15306,723775,17653
New Orleans Pelicans,656183,16004,724356,17667
New York Knicks,779087,19002,720226,17566
Oklahoma City Thunder,746350,18204,732517,17866
Orlando Magic,720024,17562,724048,17660
Philadelphia 76ers,838564,20453,733699,17895
Phoenix Suns,627023,15293,737301,17983
Portland Trail Blazers,799345,19496,735976,17951
Sacramento Kings,700975,17097,705164,17199
San Antonio Spurs,750616,18308,712647,17382
Toronto Raptors,812822,19825,747839,18240
Utah Jazz,732240,17860,718204,17517
Washington Wizards,716996,17488,717896,17510
