Team,Home ATT,Home AVG,Road ATT,Road AVG
Atlanta Hawks,713909,17412,720873,17582
Boston Celtics,721350,17594,727404,17742
Brooklyn Nets,698529,17037,739614,18039
Charlotte Hornets,704886,17192,723833,17654
Chicago Bulls,896525,21866,754592,18405
Cleveland Cavaliers,843042,20562,775537,18916
Dallas Mavericks,827702,20188,723792,17653
Denver Nuggets,602707,14700,714593,17429
Detroit Pistons,625917,15266,732519,17866
Golden State Warriors,803436,19596,750793,18312
Houston Rockets,747412,18230,736761,17970
Indiana Pacers,691434,16864,733593,17893
Los Angeles Clippers,785892,19168,741245,18079
Los Angeles Lakers,768244,18738,732881,17875
Memphis Grizzlies,710502,17329,738717,18017
Miami Heat,808223,19713,725609,17698
Milwaukee Bucks,611226,14908,725841,17703
Minnesota Timberwolves,595652,14528,738032,18001
New Orleans Pelicans,683757,16677,723265,17641
New York Knicks,812292,19812,715966,17463
Oklahoma City Thunder,746323,18203,736220,17957
Orlando Magic,688194,16785,721024,17586
Philadelphia 76ers,571342,13935,724272,17665
Phoenix Suns,693862,16923,721033,17586
Portland Trail Blazers,801377,19546,723952,17657
Sacramento Kings,680049,16587,718130,17515
San Antonio Spurs,762855,18606,736866,17972
Toronto Raptors,809824,19752,718430,17523
Utah Jazz,772059,18831,702545,17135
Washington Wizards,747796,18239,748386,18253
